index,node,cnt
750,110053,2
751,1059230,2
752,111139,2
753,110048,2
754,102726,2
755,111218,2
756,2105618,2
757,118407,2
758,2598797,2
759,110175,2
760,110324,2
761,111092,2
762,110231,2
763,131159,2
764,110233,2
765,111099,2
766,110154,2
767,110170,2
768,110300,2
769,110105,2
770,110119,2
771,111207,2
772,2620697,2
773,110117,2
774,1060490,2
775,110118,2
776,110065,2
777,375879,2
778,102344,2
779,771995,2
780,110094,2
781,2620702,2
782,4066899,2
783,111264,2
784,111249,2
785,111255,2
786,111145,2
787,110080,2
788,110091,2
789,111204,2
790,110246,2
791,1579143,2
792,1690410,2
793,110085,2
794,118443,2
795,111615,2
796,102265,2
797,498051,2
798,1733248,2
799,111228,2
800,110092,2
801,110127,2
802,110099,2
803,445078,2
804,1252086,2
805,110101,2
806,110104,2
807,1505453,2
808,111308,2
809,111185,2
810,110309,2
811,111226,2
812,103255,2
813,110768,2
814,1591817,2
815,412022,2
816,110546,2
817,1662029,2
818,110775,2
819,110737,2
820,110516,2
821,122258,2
822,447943,2
823,431931,2
824,118483,2
825,121149,2
826,2519770,2
827,103259,2
828,110382,2
829,122243,2
830,1914487,2
831,110460,2
832,110828,2
833,1087737,2
834,110831,2
835,103402,2
836,110378,2
837,776747,2
838,110825,2
839,110774,2
840,110795,2
841,122242,2
842,110746,2
843,102591,2
844,110701,2
845,110599,2
846,396175,2
847,2099804,2
848,110645,2
849,1729616,2
850,110559,2
851,1747923,2
852,110742,2
853,110766,2
854,110661,2
855,118505,2
856,2459031,2
857,110477,2
858,1745425,2
859,110690,2
860,110985,2
861,110552,2
862,110773,2
863,110532,2
864,110699,2
865,2454245,2
866,110984,2
867,110753,2
868,121164,2
869,103170,2
870,110916,2
871,110292,2
872,2003292,2
873,894487,2
874,110953,2
875,777619,2
876,110312,2
877,110991,2
878,110960,2
879,1985223,2
880,1560611,2
881,118452,2
882,110212,2
883,111023,2
884,1753160,2
885,110259,2
886,118487,2
887,103457,2
888,111091,2
889,777958,2
890,1495620,2
891,111056,2
892,773551,2
893,111043,2
894,111108,2
895,1537337,2
896,2272972,2
897,1580457,2
898,111188,2
899,1880763,2
900,1393847,2
901,110899,2
902,110367,2
903,110999,2
904,118496,2
905,110993,2
906,110919,2
907,2361357,2
908,1636806,2
909,110992,2
910,110918,2
911,111062,2
912,478608,2
913,111019,2
914,110474,2
915,110440,2
916,1404975,2
917,111012,2
918,110361,2
919,1787427,2
920,102976,2
921,1407600,2
922,110322,2
923,110987,2
924,110318,2
925,2335623,2
926,110731,2
927,110293,2
928,110326,2
929,105171,2
930,111822,2
931,2031955,2
932,118014,2
933,564320,2
934,112587,2
935,112595,2
936,118031,2
937,112642,2
938,112632,2
939,2461278,2
940,725552,2
941,112617,2
942,112601,2
943,112604,2
944,1687202,2
945,118030,2
946,112565,2
947,715650,2
948,2462773,2
949,1781262,2
950,2382064,2
951,112400,2
952,112679,2
953,112693,2
954,1663751,2
955,112699,2
956,94782,2
957,1740448,2
958,96276,2
959,112737,2
960,96424,2
961,1723541,2
962,1534785,2
963,2461257,2
964,1667417,2
965,562712,2
966,590210,2
967,1534588,2
968,1517134,2
969,112603,2
970,2528498,2
971,118019,2
972,2440978,2
973,685132,2
974,576263,2
975,118148,2
976,118093,2
977,112464,2
978,112459,2
979,1780831,2
980,112452,2
981,118036,2
982,1636527,2
983,118101,2
984,1149515,2
985,118098,2
986,118144,2
987,2448479,2
988,2448618,2
989,112489,2
990,1788371,2
991,118134,2
992,118071,2
993,112561,2
994,112567,2
995,112505,2
996,97561,2
997,112573,2
998,112593,2
999,1497359,2
1000,1777832,2
1001,112517,2
1002,1657475,2
1003,2381074,2
1004,1666311,2
1005,2362733,2
1006,1657676,2
1007,2441435,2
1008,1717368,2
1009,2452266,2
1010,1148450,2
1011,103531,2
1012,1722709,2
1013,671465,2
1014,112870,2
1015,112896,2
1016,1781943,2
1017,601498,2
1018,112867,2
1019,725510,2
1020,112792,2
1021,117893,2
1022,1471480,2
1023,2429816,2
1024,112890,2
1025,1504334,2
1026,117884,2
1027,112807,2
1028,2410270,2
1029,103921,2
1030,6381,2
1031,1788968,2
1032,102839,2
1033,1087956,2
1034,117854,2
1035,1728613,2
1036,112919,2
1037,1660247,2
1038,1512299,2
1039,1087952,2
1040,663691,2
1041,117875,2
1042,156353,2
1043,117863,2
1044,1746215,2
1045,117865,2
1046,117864,2
1047,117922,2
1048,117905,2
1049,1740593,2
1050,1207802,2
1051,118074,2
1052,2428074,2
1053,117937,2
1054,117936,2
1055,117964,2
1056,117958,2
1057,117950,2
1058,1375314,2
1059,105766,2
1060,112775,2
1061,117934,2
1062,112710,2
1063,112706,2
1064,1213708,2
1065,1119856,2
1066,112701,2
1067,117967,2
1068,2411822,2
1069,117957,2
1070,2459736,2
1071,104135,2
1072,2614075,2
1073,90897,2
1074,735460,2
1075,117841,2
1076,1506579,2
1077,1431594,2
1078,1688238,2
1079,1862320,2
1080,92702,2
1081,1674138,2
1082,2406485,2
1083,2388301,2
1084,1523453,2
1085,1653372,2
1086,112384,2
1087,679550,2
1088,102360,2
1089,111693,2
1090,111730,2
1091,111955,2
1092,111713,2
1093,111735,2
1094,118369,2
1095,101671,2
1096,111623,2
1097,101833,2
1098,111724,2
1099,164421,2
1100,536033,2
1101,1449865,2
1102,111666,2
1103,111681,2
1104,111598,2
1105,1087668,2
1106,111754,2
1107,767677,2
1108,118135,2
1109,111851,2
1110,1773240,2
1111,2402265,2
1112,111924,2
1113,1983018,2
1114,111839,2
1115,2107112,2
1116,111788,2
1117,111772,2
1118,1523665,2
1119,100934,2
1120,853754,2
1121,112074,2
1122,112127,2
1123,118359,2
1124,516408,2
1125,111758,2
1126,111597,2
1127,111555,2
1128,1463452,2
1129,111403,2
1130,111404,2
